,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
7176,153387,6.4,27431.0,Bibliotekarz: Tajemnica włóczni,2004,5,2020-04-14,Filmography,8
7177,817414,6.7,34091.0,Midsommar. W biały dzień,2019,7,2019-07-09,Fifilifion10,5
7178,807682,7.3,3981.0,Sny wędrownych ptaków,2018,8,2019-06-30,Fifilifion10,5
7179,480036,7.0,90952.0,"Co nas kręci, co nas podnieca",2009,8,2019-01-29,s_pagowski,8
7180,606190,4.3,69387.0,Bejbi blues,2012,3,2019-01-29,s_pagowski,8
7181,706142,7.4,73093.0,Młodość,2015,9,2017-02-05,rafal09,9
7182,514675,7.6,323041.0,Deadpool,2016,6,2017-02-05,rafal09,9
7183,599595,7.4,102762.0,Les Misérables: Nędznicy,2012,8,2017-02-05,rafal09,9
7184,711933,7.2,29003.0,Auta 3,2017,6,2019-09-18,MuFaBu,2
7185,660451,6.9,125629.0,Pod Mocnym Aniołem,2014,9,2015-11-28,piotrek_cyran,9
7186,500891,8.3,580268.0,Incepcja,2010,9,2015-11-27,piotrek_cyran,9
7187,980,7.8,272091.0,"Obcy - 8. pasażer ""Nostromo""",1979,9,2015-11-27,piotrek_cyran,9
7188,1262,7.8,297044.0,Stowarzyszenie Umarłych Poetów,1989,7,2017-08-27,dano999,4
7189,682170,7.7,205361.0,W głowie się nie mieści,2015,7,2017-08-27,dano999,4
7190,808327,6.5,810.0,Sauvage,2018,0,2019-08-10,Reckless17,2
7191,830232,7.7,383.0,Kobieca (nie) przyjemność,2018,7,2019-08-10,Reckless17,2
7192,815368,6.6,564.0,In Fabric,2018,9,2019-08-09,Reckless17,2
7193,489280,7.3,169778.0,X-Men: Pierwsza klasa,2011,7,2015-03-14,Xerej,11
7194,774850,7.8,54092.0,Twardowsky 2.0,2016,7,2016-12-15,DOMINIKA12345_filmweb,2
7195,575538,5.3,20120.0,Raj na ziemi,2012,6,2016-11-28,DOMINIKA12345_filmweb,2
7196,491042,6.6,119684.0,Jeździec znikąd,2013,6,2016-11-04,DOMINIKA12345_filmweb,2
7197,547189,6.5,94456.0,Intruz,2013,7,2016-12-01,Naxori,11
7198,119808,7.0,47105.0,Tristan i Izolda,2006,7,2015-02-21,gabrysia_21,10
7199,666828,7.3,32352.0,Wenus w futrze,2013,8,2013-12-21,mauget,11
7200,506803,7.2,284265.0,Poradnik pozytywnego myślenia,2012,4,2013-02-25,MartynaRajca,11
7201,6878,8.2,551131.0,Król Lew,1994,7,2013-02-15,MartynaRajca,11
7202,1209,7.6,31937.0,The Doors,1991,8,2013-02-15,MartynaRajca,11
