,movie_title,movie_year,movie_rating_avg,movie_rating_no,user_rated_date,user_rating,movie_id,user
146,Wyśnione miłości,2010,"7,3",51 871,16 marca 2016,7,565372,greyshh
147,Joy,2015,"6,4",73 226,13 marca 2016,7,718552,greyshh
148,Mój rower,2012,"6,8",57 240,7 marca 2016,6,630833,greyshh
149,Prowokator,1995,"6,5",4 396,3 marca 2016,9,1180,greyshh
150,Psy,1992,"7,7",196 753,3 marca 2016,8,1142,greyshh
151,Nine - Dziewięć,2009,"5,9",45 211,1 marca 2016,7,428468,greyshh
152,Dobry rok,2006,"7,2",50 510,1 marca 2016,8,125512,greyshh
153,Gdzie jest Nemo?,2003,"7,2",186 957,1 marca 2016,8,36042,greyshh
154,Pokój,2015,"7,9",180 566,28 lutego 2016,8,731541,greyshh
155,Marsjanin,2015,"7,6",263 525,26 lutego 2016,8,715533,greyshh
156,Big Short,2015,"7,4",124 227,25 lutego 2016,8,732548,greyshh
157,Berlin Calling,2008,"7,2",16 663,23 lutego 2016,6,484627,greyshh
158,Planeta Singli,2016,"7,1",157 205,18 lutego 2016,7,751987,greyshh
159,Podwójne życie Weroniki,1991,"7,5",46 004,15 lutego 2016,,1159,greyshh
160,Snajper,2014,"7,6",230 284,15 lutego 2016,7,656040,greyshh
161,Harry Potter i Książę Półkrwi,2009,"7,5",290 995,12 lutego 2016,7,142402,greyshh
162,Harry Potter i Komnata Tajemnic,2002,"7,4",296 625,12 lutego 2016,8,32302,greyshh
163,Harry Potter i więzień Azkabanu,2004,"7,7",388 046,12 lutego 2016,8,34282,greyshh
164,Harry Potter i Zakon Feniksa,2007,"7,5",302 661,12 lutego 2016,6,113008,greyshh
165,Harry Potter i Czara Ognia,2005,"7,6",384 179,12 lutego 2016,6,95746,greyshh
166,Air Force One,1997,"6,3",37 302,12 lutego 2016,7,3,greyshh
167,Indiana Jones i Królestwo Kryształowej Czaszki,2008,"6,6",132 066,12 lutego 2016,7,33392,greyshh
168,Gwiezdne wojny: Część III - Zemsta Sithów,2005,"7,6",240 727,12 lutego 2016,9,5982,greyshh
